trial_time,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,hand,seq_id,trial,run
0.032,0.06,0.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.067,0.02,0.0,32.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.096,0.01,0.0,32.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.115,0.01,0.0,32.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.149,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.182,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.216,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.249,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.281,0.0,29.61,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.315,0.0,32.61,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.349,0.0,8.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.382,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.415,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.449,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.48,0.0,0.12,0.0,29.62,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.515,0.0,0.06,0.0,32.62,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.549,0.0,0.03,0.0,8.26,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.582,0.0,0.02,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.615,0.0,0.01,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.649,0.0,0.01,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.682,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.716,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.747,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
