move_time,p_0,p_1,p_2,p_3,p_4,score,hand,seq_id,trial,run
3.647,0.068,0.315,0.516,3.081,3.714,0,left,a,0,0
1.429,1.501,1.966,2.4,2.665,2.93,1,left,a,1,0
0.968,0.666,0.932,1.299,1.433,1.634,3,left,a,2,0
1.467,0.798,1.033,1.266,1.433,2.265,1,right,b,3,0
0.533,0.733,0.864,1.033,1.132,1.266,3,right,b,4,0
0.401,0.665,0.765,0.83,0.965,1.066,3,right,b,5,0
2.833,0.134,1.801,2.367,2.664,2.966,0,left,a,6,0
0.815,0.65,0.883,1.081,1.265,1.465,3,left,a,7,0
0.699,1.1,1.264,1.466,1.631,1.799,3,left,a,8,0
4.968,0.165,0.367,0.732,4.0,5.133,0,right,b,9,0
1.482,1.0,1.467,1.799,2.149,2.482,1,right,b,10,0
0.632,0.567,0.765,0.933,1.033,1.199,1,right,b,11,0
0.7,1.031,1.232,1.433,1.599,1.731,3,left,a,12,0
0.617,0.564,0.73,0.882,0.983,1.181,3,left,a,13,0
0.534,0.597,0.733,0.9,1.0,1.132,3,left,a,14,0
0.668,0.698,0.9,1.066,1.233,1.367,1,right,b,15,0
0.585,0.731,0.898,1.064,1.198,1.316,3,right,b,16,0
0.464,0.801,0.934,1.065,1.134,1.265,3,right,b,17,0
0.668,0.764,0.933,1.134,1.264,1.433,3,left,a,18,0
0.532,0.6,0.731,0.863,0.999,1.132,3,left,a,19,0
0.533,0.598,0.713,0.866,0.997,1.13,3,left,a,20,0
0.435,0.631,0.732,0.865,0.965,1.065,3,right,b,21,0
0.466,0.799,0.867,1.033,1.166,1.265,3,right,b,22,0
0.369,0.597,0.665,0.799,0.9,0.966,3,right,b,23,0
0.568,0.533,0.666,0.8,0.934,1.101,3,left,a,24,0
1.301,0.565,0.7,0.866,1.264,1.866,0,left,a,25,0
0.498,0.599,0.732,0.863,0.998,1.097,3,left,a,26,0
0.4,0.831,0.933,1.032,1.133,1.231,3,right,b,27,0
0.365,0.599,0.7,0.767,0.9,0.965,3,right,b,28,0
0.367,0.698,0.8,0.899,0.997,1.064,3,right,b,29,0
0.832,0.766,1.0,1.234,1.433,1.598,1,left,a,30,1
0.529,0.565,0.698,0.829,0.983,1.095,3,left,a,31,1
1.7,0.464,0.599,0.765,1.066,2.164,0,left,a,32,1
0.4,0.531,0.633,0.731,0.831,0.931,3,right,b,33,1
0.435,2.865,2.98,3.098,3.233,3.3,3,right,b,34,1
0.436,1.164,1.267,1.365,1.499,1.6,1,right,b,35,1
0.832,0.5,0.666,0.965,1.131,1.332,1,left,a,36,1
0.531,0.533,0.666,0.833,0.933,1.064,3,left,a,37,1
0.665,0.5,0.631,0.764,0.966,1.165,1,left,a,38,1
0.668,0.531,0.598,0.733,1.132,1.199,1,right,b,39,1
0.368,0.565,0.667,0.766,0.866,0.933,3,right,b,40,1
0.364,0.633,0.701,0.833,0.931,0.998,3,right,b,41,1
