trial_time,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,hand,seq_id,trial,run
0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.45,59.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.467,65.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.483,65.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.5,65.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.517,66.0,59.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.533,66.0,65.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.55,66.0,65.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.567,66.0,65.99,59.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.583,66.0,66.0,65.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.6,66.0,66.0,65.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.617,66.0,66.0,65.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.634,66.0,66.0,66.0,59.92,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.65,66.0,66.0,66.0,65.39,0.0,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.667,66.0,66.0,66.0,65.93,59.99,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.684,7.84,66.0,66.0,65.99,65.39,0.0,0.0,0.0,0.0,0.0,left,a,0,0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,1,0
0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,1,0
0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,1,0
0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,1,0
0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,1,0
0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,1,0
0.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,1,0
0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,1,0
